Sl no.,District Name,State,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
928,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1350,1850,1550,30-May-24
929,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1360,1875,1875,16-May-24
930,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1370,1740,1370,02-Apr-25
931,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1385,1875,1875,14-May-24
932,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1399,2580,2080,06-Mar-25
933,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1400,1600,1600,04-Apr-25
934,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1400,1710,1502,07-Apr-25
935,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1400,1786,1786,15-May-24
936,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1400,1800,1600,31-May-24
937,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1400,2002,1502,08-Apr-25
938,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1400,2300,1645,03-Apr-25
939,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1437,1695,1601,27-May-24
940,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1446,1550,1446,10-Apr-25
941,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1450,1650,1600,28-May-24
942,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1450,1701,1472,01-Apr-25
943,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1450,1999,1800,07-May-24
944,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1452,1506,1500,17-May-24
945,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1457,2157,1457,09-Apr-25
946,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1472,1882,1472,31-Mar-25
947,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1485,1861,1563,29-Mar-25
948,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1500,1700,1600,13-May-24
949,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1500,1700,1600,18-May-24
950,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1500,1760,1645,04-Jun-24
951,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1500,1884,1545,06-Jun-24
952,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1500,2000,1556,05-Jun-24
953,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1500,2000,1800,04-May-24
954,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1500,2100,1800,26-Dec-24
955,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1500,2500,2300,01-Jan-25
956,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1500,2630,1890,21-Mar-25
957,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1500,3164,2623,07-Jun-24
958,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1515,1800,1540,11-May-24
959,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1522,1895,1732,27-Apr-24
960,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1537,1915,1915,26-Mar-25
961,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1544,1794,1544,16-Apr-24
962,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1550,1750,1650,20-May-24
963,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1550,1963,1934,20-Mar-25
964,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1550,2090,1760,19-Mar-25
965,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1565,1928,1928,23-Apr-24
966,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1584,1631,1584,02-May-24
967,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1590,2056,1740,11-Apr-24
968,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1600,1800,1600,03-Jun-24
969,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1600,1900,1825,24-Apr-24
970,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1600,2000,1800,26-Apr-24
971,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1600,2051,2051,05-Aug-24
972,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1600,2200,1850,18-Mar-25
973,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1609,1880,1880,12-Apr-24
974,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1620,1750,1620,03-May-24
975,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1645,2000,1696,27-Mar-25
976,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1650,2774,2774,18-Jun-24
977,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1657,1857,1745,30-Apr-24
978,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1659,1975,1897,25-Mar-25
979,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1667,1920,1765,20-Apr-24
980,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1681,2900,1920,19-Jun-24
981,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1693,2317,2046,14-Mar-25
982,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1700,1850,1700,18-Apr-24
983,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1700,2200,2000,13-Apr-24
984,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1708,1909,1715,17-Apr-24
985,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1710,1935,1710,25-Apr-24
986,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1740,1827,1740,19-Apr-24
987,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1749,2147,1935,04-Apr-24
988,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1757,2074,1825,09-Apr-24
989,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1784,2780,1784,24-Dec-24
990,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1800,1900,1800,22-Apr-24
991,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1800,2500,2100,08-Feb-25
992,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1800,2929,2523,20-Jun-24
993,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1850,2250,2150,08-Apr-24
994,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1860,3306,3306,26-Jun-24
995,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1865,2500,1865,12-Mar-25
996,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1870,2870,2568,13-Jun-24
997,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1890,2800,2300,05-Feb-25
998,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1897,1922,1897,24-Mar-25
999,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1900,2200,2100,06-Apr-24
1000,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1900,2700,2400,06-Feb-25
1001,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1900,2800,2600,17-Jun-24
1002,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1900,3400,2300,12-Jun-24
1003,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1958,2550,2550,21-Dec-24
1004,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,1987,2528,1987,15-Jan-25
1005,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2000,2400,2390,25-Jan-25
1006,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2000,2480,2455,24-Jan-25
1007,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2000,2500,2000,14-Jun-24
1008,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2000,2556,2545,11-Jun-24
1009,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2000,2600,2420,23-Dec-24
1010,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2000,2797,2499,11-Feb-25
1011,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2000,3000,2500,15-Jun-24
1012,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2000,3177,2453,21-Jun-24
1013,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2000,3186,2279,22-Jun-24
1014,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2005,3232,3070,28-Jun-24
1015,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2012,2079,2079,03-Apr-24
1016,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2025,2500,2449,22-Jan-25
1017,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2050,2860,2361,02-Jul-24
1018,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2070,2998,2134,04-Feb-25
1019,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2100,2350,2204,16-Jan-25
1020,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2100,2400,2220,20-Jan-25
1021,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2100,2511,2511,11-Mar-25
1022,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2100,3000,2100,13-Jan-25
1023,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2100,3529,2850,08-Jul-24
1024,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2108,2958,2596,03-Feb-25
1025,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2123,2462,2123,17-Jan-25
1026,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2144,2490,2269,18-Jan-25
1027,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2149,2999,2399,01-Feb-25
1028,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2150,2622,2150,14-Jan-25
1029,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2200,2650,2500,26-Feb-25
1030,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2200,3000,2600,10-Jun-24
1031,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2200,3301,3301,03-Jan-25
1032,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2201,2702,2702,29-Jan-25
1033,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2214,2961,2527,31-Jan-25
1034,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2222,2645,2600,10-Mar-25
1035,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2238,2693,2238,30-Jan-25
1036,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2245,3302,2945,20-Jul-24
1037,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2250,2616,2312,04-Jan-25
1038,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2261,2800,2424,20-Dec-24
1039,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2265,2610,2290,10-Feb-25
1040,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2300,2617,2567,12-Feb-25
1041,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2300,2800,2405,24-Feb-25
1042,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2303,2833,2448,08-Mar-25
1043,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2303,2883,2448,07-Mar-25
1044,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2325,2740,2350,28-Jan-25
1045,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2336,3028,2417,09-Jan-25
1046,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2389,3273,3273,27-Jun-24
1047,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2400,2832,2500,27-Jan-25
1048,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2400,4405,4348,09-Sep-24
1049,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2413,3055,2413,04-Mar-25
1050,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2440,3065,2604,08-Jan-25
1051,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2465,2946,2900,05-Mar-25
1052,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2500,2772,2635,13-Feb-25
1053,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2500,3000,2710,24-Jun-24
1054,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2500,3100,3000,04-Jul-24
1055,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2555,3271,2575,07-Jan-25
1056,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2603,3293,3293,06-Jan-25
1057,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2640,3407,3253,19-Jul-24
1058,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2650,3378,3378,12-Jul-24
1059,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2700,3150,3100,05-Jul-24
1060,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2700,3200,3000,06-Jul-24
1061,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2707,3400,2707,18-Dec-24
1062,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2734,2794,2734,21-Feb-25
1063,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2734,2794,2746,22-Feb-25
1064,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2735,3000,2968,19-Dec-24
1065,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2750,2812,2761,20-Feb-25
1066,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2750,3164,2750,31-Jul-24
1067,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2750,3418,3053,11-Jul-24
1068,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2758,3371,3350,24-Jul-24
1069,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2762,3323,2970,25-Jul-24
1070,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2769,3166,2850,25-Jun-24
1071,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2799,3120,2808,18-Feb-25
1072,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2800,3150,3100,31-Dec-24
1073,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2800,3150,3150,27-Jul-24
1074,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2800,3221,2800,01-Aug-24
1075,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2800,3229,2850,18-Jul-24
1076,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2800,3270,3194,03-Jul-24
1077,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2800,3340,2835,22-Jul-24
1078,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2800,3369,3017,17-Feb-25
1079,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2800,3395,3260,17-Jul-24
1080,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2800,3473,2840,16-Jul-24
1081,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2800,3500,3500,29-Jul-24
1082,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2800,3800,3200,15-Aug-24
1083,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2805,3331,2805,23-Jul-24
1084,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2868,3235,2950,04-Aug-24
1085,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2870,3363,2870,13-Jul-24
1086,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2875,3310,3096,15-Jul-24
1087,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2900,3200,3200,30-Jul-24
1088,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2900,3619,2920,06-Aug-24
1089,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2951,3167,2955,02-Aug-24
1090,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2955,3369,2955,08-Aug-24
1091,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2966,3134,3134,30-Dec-24
1092,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2978,3649,3569,13-Aug-24
1093,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2978,3649,3569,19-Aug-24
1094,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,2991,3784,3294,27-Nov-24
1095,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3000,3252,3222,26-Jul-24
1096,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3000,3274,3093,07-Aug-24
1097,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3000,3408,3154,09-Jul-24
1098,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3000,3743,3743,12-Aug-24
1099,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3025,3418,3131,10-Jul-24
1100,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3030,3838,3444,26-Nov-24
1101,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3068,3771,3517,25-Nov-24
1102,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3080,3290,3200,10-Aug-24
1103,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3100,3665,3150,09-Aug-24
1104,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3100,4029,3820,10-Dec-24
1105,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3180,3723,3723,07-Dec-24
1106,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3180,3723,3723,15-Feb-25
1107,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3300,5166,4044,11-Nov-24
1108,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3346,5250,4998,12-Nov-24
1109,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3346,5271,4998,09-Nov-24
1110,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3351,4549,4392,19-Nov-24
1111,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3400,3895,3895,28-Nov-24
1112,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3400,4127,3784,05-Dec-24
1113,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3400,4200,3800,09-Dec-24
1114,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3400,4231,3844,06-Dec-24
1115,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3400,4300,3400,05-Sep-24
1116,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3400,4576,4000,17-Sep-24
1117,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3407,3854,3594,17-Aug-24
1118,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3427,4124,3538,23-Nov-24
1119,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3500,4000,3500,16-Dec-24
1120,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3500,4020,3500,07-Sep-24
1121,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3500,4042,3800,17-Dec-24
1122,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3500,4200,3500,04-Sep-24
1123,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3500,4219,3618,12-Dec-24
1124,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3500,4250,4100,06-Sep-24
1125,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3500,4250,4120,02-Sep-24
1126,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3525,4021,4021,21-Aug-24
1127,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3530,4162,3530,04-Dec-24
1128,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3540,4042,3540,13-Dec-24
1129,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3540,4100,3800,30-Nov-24
1130,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3560,4196,3650,03-Dec-24
1131,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3566,4034,3664,02-Dec-24
1132,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3600,3753,3740,22-Aug-24
1133,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3600,4238,3697,22-Nov-24
1134,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3605,4297,3802,03-Sep-24
1135,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3630,4575,3905,20-Nov-24
1136,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3650,4049,3650,30-Aug-24
1137,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3700,4200,4200,16-Sep-24
1138,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3700,4327,4124,31-Aug-24
1139,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3700,4350,4100,14-Sep-24
1140,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3700,4486,3900,29-Aug-24
1141,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3700,4545,4243,26-Aug-24
1142,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3750,4747,4151,13-Sep-24
1143,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3760,4117,3967,29-Nov-24
1144,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3795,4577,3800,21-Nov-24
1145,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3800,4320,4300,27-Aug-24
1146,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3800,4397,4397,12-Sep-24
1147,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3800,4994,4470,26-Oct-24
1148,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3848,4523,4523,19-Oct-24
1149,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3860,4075,3860,28-Aug-24
1150,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3948,4718,4521,28-Oct-24
1151,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3980,4620,4410,16-Nov-24
1152,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3986,4524,4320,21-Oct-24
1153,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3988,5344,4446,13-Nov-24
1154,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,3995,4619,4345,15-Nov-24
1155,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4000,4250,4000,11-Sep-24
1156,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4000,4500,4200,10-Oct-24
1157,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4000,4500,4400,17-Oct-24
1158,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4000,4500,4500,07-Oct-24
1159,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4000,4531,4361,22-Oct-24
1160,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4000,4555,4500,20-Sep-24
1161,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4000,4748,4748,24-Oct-24
1162,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4000,4951,4645,21-Sep-24
1163,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4000,5027,4500,19-Sep-24
1164,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4000,5033,4550,24-Sep-24
1165,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4000,5200,5200,07-Nov-24
1166,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4029,4780,4440,03-Oct-24
1167,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4030,4193,4056,14-Nov-24
1168,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4099,4856,4670,05-Oct-24
1169,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4100,4330,4330,14-Oct-24
1170,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4100,4494,4401,16-Oct-24
1171,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4100,4637,4637,18-Sep-24
1172,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4100,4700,4500,02-Nov-24
1173,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4100,4722,4650,09-Oct-24
1174,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4100,4800,4800,11-Oct-24
1175,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4125,4547,4400,25-Oct-24
1176,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4190,4559,4190,10-Sep-24
1177,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4200,4614,4342,23-Oct-24
1178,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4200,4800,4600,01-Nov-24
1179,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4200,4842,4276,04-Oct-24
1180,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4200,4900,4500,30-Sep-24
1181,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4200,4970,4703,23-Sep-24
1182,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4221,4475,4297,15-Oct-24
1183,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4233,6167,4299,18-Oct-24
1184,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4259,4784,4352,05-Nov-24
1185,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4300,4800,4500,08-Oct-24
1186,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4300,4800,4529,06-Nov-24
1187,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4300,4867,4867,28-Sep-24
1188,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4380,5100,4800,12-Oct-24
1189,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4394,4751,4751,01-Oct-24
1190,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4400,5610,5610,08-Nov-24
1191,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4410,5070,4410,25-Sep-24
1192,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4448,4919,4454,27-Sep-24
1193,kapurthala,Punjab,Phagwara,Onion,Other,FAQ,4675,5048,4688,26-Sep-24
1194,kapurthala,Punjab,Phagwara,Onion,Other,Non-FAQ,2340,2523,2340,21-Jan-25
1195,kapurthala,Punjab,Phagwara,Apple,Other,Large,2000,5950,5449,01-Oct-24
1196,kapurthala,Punjab,Phagwara,Apple,Other,Large,2901,6244,5212,05-Oct-24
1197,kapurthala,Punjab,Phagwara,Apple,Other,Large,4100,8100,5200,11-Sep-24
1198,kapurthala,Punjab,Phagwara,Apple,Other,Medium,1690,8579,1690,18-Jul-24
1199,kapurthala,Punjab,Phagwara,Apple,Other,Medium,1768,9182,1778,22-Jul-24
1200,kapurthala,Punjab,Phagwara,Apple,Other,Medium,1993,6106,5473,27-Sep-24
1201,kapurthala,Punjab,Phagwara,Apple,Other,Medium,2000,6000,3673,19-Oct-24
1202,kapurthala,Punjab,Phagwara,Apple,Other,Medium,2003,5130,4426,05-Aug-24
1203,kapurthala,Punjab,Phagwara,Apple,Other,Medium,2100,4500,4500,17-Oct-24
1204,kapurthala,Punjab,Phagwara,Apple,Other,Medium,2148,4316,4316,01-Aug-24
1205,kapurthala,Punjab,Phagwara,Apple,Other,Medium,2155,4570,4570,16-Oct-24
1206,kapurthala,Punjab,Phagwara,Apple,Other,Medium,2200,2200,2200,10-Sep-24
1207,kapurthala,Punjab,Phagwara,Apple,Other,Medium,2200,8589,8589,10-Jul-24
1208,kapurthala,Punjab,Phagwara,Apple,Other,Medium,2225,4471,2659,24-Sep-24
1209,kapurthala,Punjab,Phagwara,Apple,Other,Medium,2267,18267,2267,02-Aug-24
1210,kapurthala,Punjab,Phagwara,Apple,Other,Medium,2281,4174,2450,04-Aug-24
1211,kapurthala,Punjab,Phagwara,Apple,Other,Medium,2282,4908,4718,26-Sep-24
1212,kapurthala,Punjab,Phagwara,Apple,Other,Medium,2290,6227,5088,09-Sep-24
1213,kapurthala,Punjab,Phagwara,Apple,Other,Medium,2400,10270,2809,20-Jul-24
